promise_id,promise_text,source,text
P199,To Set up Festival Authority of Karnataka.,news,Dasara symbolises women’s pride and strength: Karnataka Minister - The Hindu
P199,To Set up Festival Authority of Karnataka.,news,All about Karnataka’s auto land conversion plan: What the reform means for homebuyers and Bengaluru real estate market | Real Estate News - Hindustan Times
P199,To Set up Festival Authority of Karnataka.,news,Mysuru Dasara 2025: MCC Launches Rs 9.48 Cr Civil Works Ahead of Festivities - Deccan Herald
P214,To provide Rs. 1 crore grant for the development of the unique Kodava Culture.,news,Why is the Karnataka government giving priority to Urdu over Kannada? State language is neglected while Siddaramaiah tries to divert the truth - HinduPost
P214,To provide Rs. 1 crore grant for the development of the unique Kodava Culture.,news,Karnataka Interim Budget 2024-25: Key Highlights - Oneindia
P214,To provide Rs. 1 crore grant for the development of the unique Kodava Culture.,news,"Kodava Heritage Centre to be Kodagu’s window to the world, hence a rich asset - starofmysore.com"
P216,To increase monthly grants to Muzarai temples.,news,Archakas’ federation demands increase in thasthik in Karnataka - The Hindu
P216,To increase monthly grants to Muzarai temples.,news,Temple priests urge Governor Thaawarchand Gehlot to approve muzrai reforms - The New Indian Express
P216,To increase monthly grants to Muzarai temples.,news,Karnataka Government Notifies Order Prohibiting Use Of Temple Funds For Non-Hindu Religious Institutions - Swarajyamag
P216,To increase monthly grants to Muzarai temples.,news,Temple priests outraged as guv returns welfare bill twice - The Times of India
P216,To increase monthly grants to Muzarai temples.,news,Karnataka government to directly pay salaries of temple employees - The Hindu
P221,"To reserve Rs.5,000 Crores every year for the infrastructure development of Kalyana Karnataka.",news,Special cabinet meeting OKs Rs 11k-crore package for Kalyana-Karnataka region - The Times of India
P221,"To reserve Rs.5,000 Crores every year for the infrastructure development of Kalyana Karnataka.",news,"Karnataka government allocates Rs 5,000 crore for Kalyana Karnataka region development - The New Indian Express"
P221,"To reserve Rs.5,000 Crores every year for the infrastructure development of Kalyana Karnataka.",news,"Karnataka CM Proposes ₹ 5,000 Crore Schemes for Kalyana Karnataka Region - Deccan Chronicle"
